"ZoonosisSurveillanceLM.generalInformation.onsetDate","ZoonosisSurveillanceLM.generalInformation.onsetDate","","","",0,1,"","","","date {[]} {[]}
","Onset Date","Onset Date","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.generalInformation.onsetDate",0,1,"",""
"ZoonosisSurveillanceLM.generalInformation.farmerName","ZoonosisSurveillanceLM.generalInformation.farmerName","","","",0,1,"","","","string {[]} {[]}
","Name of Farmer","Name of Farmer","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.generalInformation.farmerName",0,1,"",""
"ZoonosisSurveillanceLM.generalInformation.contact","ZoonosisSurveillanceLM.generalInformation.contact","","","",0,1,"","","","ContactPoint {[]} {[]}
","Contact","Contact","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.generalInformation.contact",0,1,"",""
"ZoonosisSurveillanceLM.generalInformation.url","ZoonosisSurveillanceLM.generalInformation.url","","","",0,1,"","","","url {[]} {[]}
","Public URL","Public URL","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.generalInformation.url",0,1,"",""
"ZoonosisSurveillanceLM.generalInformation.comment","ZoonosisSurveillanceLM.generalInformation.comment","","","",0,1,"","","","string {[]} {[]}
","General Comment","General Comment","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.generalInformation.comment",0,1,"",""
"ZoonosisSurveillanceLM.location","ZoonosisSurveillanceLM.location","","","",0,1,"","","","BackboneElement {[]} {[]}
","Location Information","Location Information","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ZoonosisSurveillanceLM.location.id","ZoonosisSurveillanceLM.location.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ZoonosisSurveillanceLM.location.extension","ZoonosisSurveillanceLM.location.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ZoonosisSurveillanceLM.location.modifierExtension","ZoonosisSurveillanceLM.location.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ZoonosisSurveillanceLM.location.country","ZoonosisSurveillanceLM.location.country","","","",0,1,"","","","code {[]} {[]}
","Country","Country","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-Country","",,,,"ZoonosisSurveillanceLM.location.country",0,1,"",""
"ZoonosisSurveillanceLM.location.locality","ZoonosisSurveillanceLM.location.locality","","","",0,1,"","","","string {[]} {[]}
","Locality","Locality","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.location.locality",0,1,"",""
"ZoonosisSurveillanceLM.location.adminLevel1","ZoonosisSurveillanceLM.location.adminLevel1","","","",0,1,"","","","code {[]} {[]}
","Admin Level 1","Admin Level 1","","","","","","","","","",,"required","","https://dhis2.org/fhir/ValueSet/regions-vs","",,,,"ZoonosisSurveillanceLM.location.adminLevel1",0,1,"",""
"ZoonosisSurveillanceLM.location.adminLevel2","ZoonosisSurveillanceLM.location.adminLevel2","","","",0,1,"","","","string {[]} {[]}
","Admin Level 2","Admin Level 2","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.location.adminLevel2",0,1,"",""
"ZoonosisSurveillanceLM.location.localitySource","ZoonosisSurveillanceLM.location.localitySource","","","",0,1,"","","","string {[]} {[]}
","Locality Source","Locality Source","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.location.localitySource",0,1,"",""
"ZoonosisSurveillanceLM.location.localityQuality","ZoonosisSurveillanceLM.location.localityQuality","","","",0,1,"","","","string {[]} {[]}
","Locality Quality","Locality Quality","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.location.localityQuality",0,1,"",""
"ZoonosisSurveillanceLM.location.eventCoordinates","ZoonosisSurveillanceLM.location.eventCoordinates","","","",0,1,"","","","string {[]} {[]}
","Event Coordinates","Event Coordinates","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.location.eventCoordinates",0,1,"",""
"ZoonosisSurveillanceLM.animalSurveillance","ZoonosisSurveillanceLM.animalSurveillance","","","",0,*,"","","","https://dhis2.org/fhir/StructureDefinition/AnimalSurveillanceLM {[]} {[]}
","Logical Model for Animal Surveillance","Logical Model for Animal Surveillance","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.animalSurveillance",0,*,"",""
"ZoonosisSurveillanceLM.laboratory","ZoonosisSurveillanceLM.laboratory","","","",0,*,"","","","https://dhis2.org/fhir/StructureDefinition/LaboratoryLM {[]} {[]}
","Logical Model for Laboratory Information","Logical Model for Laboratory Information","","","","","","","","","",,,,,"",,,,"ZoonosisSurveillanceLM.laboratory",0,*,"",""
